,INSTNM,CITY,STABBR,INSTURL,PREDDEG,HIGHDEG,CONTROL,ADM_RATE,DISTANCEONLY,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,PFTFAC,ICLEVEL,ENDOWBEGIN,UGDS,NPT4_PUB,NPT4_PRIV
150,Professional Cosmetology Education Center,El Dorado,AR,pcec.edu,1,1,3,,0.0,,13996.0,,,,3,,37.0,,10398.0
151,University of Arkansas-Pulaski Technical College,North Little Rock,AR,uaptc.edu,1,2,1,,0.0,18439.0,,5670.0,6900.0,1.0,2,3880986.0,4110.0,12959.0,
152,University of Arkansas Hope-Texarkana,Hope,AR,uaht.edu,1,2,1,,0.0,12807.0,,3070.0,4390.0,0.5694,2,2045733.0,760.0,6084.0,
153,University of Arkansas Community College Rich Mountain,Mena,AR,uarichmountain.edu,1,2,1,,0.0,10811.0,,3240.0,3816.0,0.4255,2,3822501.0,529.0,4926.0,
154,Paul Mitchell the School-Arkansas,Fayetteville,AR,paulmitchell.edu/arkansas,1,1,3,,0.0,,17532.0,,,,3,,118.0,,13482.0
155,Searcy Beauty College,Searcy,AR,searcybeautycollege.com,1,1,3,,0.0,,18095.0,,,,3,,84.0,,12385.0
156,Shorter College,N Little Rock,AR,shortercollege.edu,2,2,2,,0.0,19840.0,,5596.0,5596.0,0.3469,2,,245.0,,13760.0
157,Williams Baptist University,Walnut Ridge,AR,williamsbaptistuniversity.com,3,4,2,0.641,0.0,31252.0,,18570.0,18570.0,1.0,1,13190757.0,593.0,,15664.0
158,South Arkansas Community College,El Dorado,AR,southark.edu,1,2,1,,0.0,11982.0,,2700.0,4812.0,1.0,2,1199640.0,889.0,7312.0,
159,Southern Arkansas University Main Campus,Magnolia,AR,saumag.edu,3,4,1,0.626,0.0,23732.0,,9410.0,14630.0,0.5824,1,52176439.0,2795.0,15873.0,
160,Southern Arkansas University Tech,Camden,AR,sautech.edu,1,2,1,,0.0,17911.0,,4420.0,6210.0,0.7159,2,998709.0,725.0,7639.0,
161,Velvatex College of Beauty Culture,Little Rock,AR,velvatexcollege.com,1,1,3,,0.0,,14841.0,,,,3,,15.0,,4058.0
162,University of Arkansas-Fort Smith,Fort Smith,AR,uafs.edu,3,4,1,,0.0,18174.0,,5754.0,13026.0,0.7267,1,93712579.0,4188.0,9336.0,
163,Academy of Art University,San Francisco,CA,academyart.edu,3,4,3,,0.0,41301.0,,25424.0,25424.0,0.1973,1,,5294.0,,32736.0
164,Academy of Chinese Culture and Health Sciences,Oakland,CA,acchs.edu,4,4,2,,0.0,,,,,,1,,,,
165,College of Alameda,Alameda,CA,alameda.edu,2,2,1,,0.0,14602.0,,1148.0,8684.0,0.4713,2,,3629.0,7530.0,
166,Allan Hancock College,Santa Maria,CA,hancockcollege.edu,2,2,1,,0.0,11135.0,,1146.0,7842.0,0.2983,2,26184121.0,7389.0,3234.0,
167,American Academy of Dramatic Arts-Los Angeles,Los Angeles,CA,aada.edu,2,2,2,0.9027,0.0,47804.0,,37230.0,37230.0,0.1628,2,1141829.0,217.0,,31278.0
168,Berkeley School of Theology,Berkeley,CA,bst.edu,4,4,2,,0.0,,,,,,1,7612567.0,,,
